stop_names,stop_order,bus_no
Navayuga Devanahalli Toll Plaza (KIAS Service)-Towards(Kempegowda International Airport),25,5A
Byatarayanapura (Towards Yalahanka)-Towards(Yalahanka),26,5A
Allalasandra Gate (Towards Kogilu Cross)-Towards(Yalahanka),27,5A
Kogilu Cross-Towards(Devanahalli),28,5A
Venkatala-Towards(Devanahalli),29,5A
Indian Air Force-Towards(Devanahalli),30,5A
Hunasamaranahalli-Towards(Devanahalli),31,5A
Bettahalasuru Cross (Towards Devanahalli)-Towards(Devanahalli),32,5A
Chikkajala-Towards(Devanahalli),33,5A
Sadahalli Gate-Towards(Devanahalli),34,5A
Trumpet-Towards(Kempegowda International Airport),35,5A
Kempegowda International Airport-Towards(Last Bus Stop ),36,5A
Kadugodi Bus Station-Towards(Kadugodi Bus Station),0,6
Hope Farm (Towards Varthuru)-Towards(Varthuru),1,6
White Field Post Office-Towards(Varthuru),2,6
Varthur Kodi-Towards(Marathahalli),3,6
Siddapura-Towards(Marathahalli),4,6
Kundalahalli Gate-Towards(Marathahalli Bridge),5,6
Marathahalli Bridge-Towards(Hebbala),6,6
Dodda Nekkundi (Towards Hebbala)-Towards(Hebbala),7,6
Mahadevapura Ring Road-Towards(Hebbala),8,6
Railway Station KR Puram-Towards(Tin Factory),9,6
Kasthuri Nagara Ring Road-Towards(Hebbala),10,6
Ramamurthy Nagara Ring Road-Towards(Hebbala),11,6
Babusabpalya (Towards Hebbala)-Towards(Hebbala),12,6
Kalyananagara-Towards(Hebbala),13,6
Jn of Nagawara-Towards(Hebbala),14,6
Veeranapalya-Towards(Hebbala),15,6
Hebbala Bridge (Towards Bhadrappa Layout)-Towards(Bhadrappa Layout),16,6
Military Dairy Farm-Towards(Yalahanka),17,6
Navayuga Devanahalli Toll Plaza (KIAS Service)-Towards(Kempegowda International Airport),18,6
Byatarayanapura (Towards Yalahanka)-Towards(Yalahanka),19,6
Allalasandra Gate (Towards Kogilu Cross)-Towards(Yalahanka),20,6
Kogilu Cross-Towards(Devanahalli),21,6
Venkatala-Towards(Devanahalli),22,6
Indian Air Force-Towards(Devanahalli),23,6
Hunasamaranahalli-Towards(Devanahalli),24,6
Bettahalasuru Cross (Towards Devanahalli)-Towards(Devanahalli),25,6
Chikkajala-Towards(Devanahalli),26,6
Sadahalli Gate-Towards(Devanahalli),27,6
Trumpet-Towards(Kempegowda International Airport),28,6
Kempegowda International Airport-Towards(Last Bus Stop ),29,6
Kadugodi Bus Station-Towards(Kadugodi Bus Station),0,6A
Hope Farm (Towards ITPL)-Towards(ITPL),1,6A
Pattandur Agrahara Gate-Towards(Kempegowda Bus Station),2,6A
Hoodi (Towards ITPL)-Towards(ITPL),3,6A
Garudacharpalya-Towards(Kempegowda Bus Station),4,6A
Mahadevapura-Towards(Kempegowda Bus Station),5,6A
Railway Station KR Puram-Towards(Tin Factory),6,6A
Kasthuri Nagara Ring Road-Towards(Hebbala),7,6A
Ramamurthy Nagara Ring Road-Towards(Hebbala),8,6A
Babusabpalya (Towards Hebbala)-Towards(Hebbala),9,6A
Kalyananagara-Towards(Hebbala),10,6A
Jn of Nagawara-Towards(Hebbala),11,6A
Veeranapalya-Towards(Hebbala),12,6A
Hebbala Bridge (Towards Bhadrappa Layout)-Towards(Bhadrappa Layout),13,6A
Military Dairy Farm-Towards(Yalahanka),14,6A
Navayuga Devanahalli Toll Plaza (KIAS Service)-Towards(Kempegowda International Airport),15,6A
Byatarayanapura (Towards Yalahanka)-Towards(Yalahanka),16,6A
Allalasandra Gate (Towards Kogilu Cross)-Towards(Yalahanka),17,6A
Kogilu Cross-Towards(Devanahalli),18,6A
Venkatala-Towards(Devanahalli),19,6A
Indian Air Force-Towards(Devanahalli),20,6A
Hunasamaranahalli-Towards(Devanahalli),21,6A
Bettahalasuru Cross (Towards Devanahalli)-Towards(Devanahalli),22,6A
Chikkajala-Towards(Devanahalli),23,6A
Sadahalli Gate-Towards(Devanahalli),24,6A
Trumpet-Towards(Kempegowda International Airport),25,6A
Kempegowda International Airport-Towards(Last Bus Stop ),26,6A
KR Puram Govt Hospital-Towards(Kempegowda Bus Station),0,6K
Tin Factory-Towards(Hebbala),1,6K
Kasthuri Nagara Ring Road-Towards(Hebbala),2,6K
Ramamurthy Nagara Ring Road-Towards(Hebbala),3,6K
Babusabpalya (Towards Hebbala)-Towards(Hebbala),4,6K
Kalyananagara-Towards(Hebbala),5,6K
Jn of Nagawara-Towards(Hebbala),6,6K
Veeranapalya-Towards(Hebbala),7,6K
Hebbala Bridge (Towards Bhadrappa Layout)-Towards(Bhadrappa Layout),8,6K
Military Dairy Farm-Towards(Yalahanka),9,6K
Navayuga Devanahalli Toll Plaza (KIAS Service)-Towards(Kempegowda International Airport),10,6K
Byatarayanapura (Towards Yalahanka)-Towards(Yalahanka),11,6K
Allalasandra Gate (Towards Kogilu Cross)-Towards(Yalahanka),12,6K
Kogilu Cross-Towards(Devanahalli),13,6K
Venkatala-Towards(Devanahalli),14,6K
Indian Air Force-Towards(Devanahalli),15,6K
Hunasamaranahalli-Towards(Devanahalli),16,6K
Bettahalasuru Cross (Towards Devanahalli)-Towards(Devanahalli),17,6K
Chikkajala-Towards(Devanahalli),18,6K
Sadahalli Gate-Towards(Devanahalli),19,6K
Trumpet-Towards(Kempegowda International Airport),20,6K
Kempegowda International Airport-Towards(Last Bus Stop ),21,6K
BDA Complex HSR Layout-Towards(HSR Layout 14th Main Ring Road),0,7
Jakkasandra-Towards(Dairy Circle),1,7
John Fowler-Towards(Dairy Circle),2,7
Jn of Hosur Road-Towards(Dairy Cirlce),3,7
Bengaluru Dairy Circle (Towards Lakkasandra)-Towards(Lakkasandra),4,7
Wilson Garden Police Station-Towards(Shanthi Nagara),5,7
Shanthinagara TTMC-Towards(KH Road),6,7
Richmond Circle-Towards(HAL),7,7
Cunningham Road-Towards(Vasantha Nagara),8,7
RM Guttahalli-Towards(Mekhri Circle),9,7
Mekhri Circle-Towards(Hebbala),10,7
Hebbala (Towards Yalahanka)-Towards(Yalahanka),11,7
Military Dairy Farm-Towards(Yalahanka),12,7
Navayuga Devanahalli Toll Plaza (KIAS Service)-Towards(Kempegowda International Airport),13,7
Byatarayanapura (Towards Yalahanka)-Towards(Yalahanka),14,7
Allalasandra Gate (Towards Kogilu Cross)-Towards(Yalahanka),15,7
Kogilu Cross-Towards(Devanahalli),16,7
Venkatala-Towards(Devanahalli),17,7
Indian Air Force-Towards(Devanahalli),18,7
Hunasamaranahalli-Towards(Devanahalli),19,7
Bettahalasuru Cross (Towards Devanahalli)-Towards(Devanahalli),20,7
Chikkajala-Towards(Devanahalli),21,7
Sadahalli Gate-Towards(Devanahalli),22,7
Trumpet-Towards(Kempegowda International Airport),23,7
Kempegowda International Airport-Towards(Last Bus Stop ),24,7
BDA Complex HSR Layout-Towards(HSR Layout 14th Main Ring Road),0,7A
Jakkasandra-Towards(Dairy Circle),1,7A
Sony World 80ft Road  Koramangala-Towards(Indira Nagara),2,7A
Military Bridge-Towards(Domlur Bridge),3,7A
Domlur (Towards Commando Hospital)-Towards(Commando Hospital),4,7A
Military Accounts Office-Towards(Trinity Circle),5,7A
MG Road-Towards(Shivaji Nagara),6,7A
Shivajinagara Bus Station-Towards(Arrival),7,7A
SOPHIYA School-Towards(Guttahalli),8,7A
RM Guttahalli-Towards(Mekhri Circle),9,7A
Mekhri Circle-Towards(Hebbala),10,7A
Hebbala (Towards Yalahanka)-Towards(Yalahanka),11,7A
Military Dairy Farm-Towards(Yalahanka),12,7A
Navayuga Devanahalli Toll Plaza (KIAS Service)-Towards(Kempegowda International Airport),13,7A
Byatarayanapura (Towards Yalahanka)-Towards(Yalahanka),14,7A
Allalasandra Gate (Towards Kogilu Cross)-Towards(Yalahanka),15,7A
Kogilu Cross-Towards(Devanahalli),16,7A
Venkatala-Towards(Devanahalli),17,7A
Indian Air Force-Towards(Devanahalli),18,7A
Hunasamaranahalli-Towards(Devanahalli),19,7A
Bettahalasuru Cross (Towards Devanahalli)-Towards(Devanahalli),20,7A
Chikkajala-Towards(Devanahalli),21,7A
Sadahalli Gate-Towards(Devanahalli),22,7A
Trumpet-Towards(Kempegowda International Airport),23,7A
Kempegowda International Airport-Towards(Last Bus Stop ),24,7A
Electronic City (Towards Bommanahalli)-Towards(Bommanahalli),0,8
Konappana Agarhara-Towards(Madivala),1,8
Hosa Road (Towards Singsandra)-Towards(Singsandra),2,8
Singasandra-Towards(Bommanahalli),3,8
Kudlu Gate-Towards(Madivala),4,8
Bommanahalli (Towards St Johns)-Towards(St Johns),5,8
SI Apartment HSR Layout-Towards(Hebbala),6,8
Depot-25 Gate (Towards Hebbala)-Towards(Hebbala),7,8
Agara Junction-Towards(Banashankari),8,8
Jn of Sarjapura Ring Road -Towards(Marathahalli Bridge),9,8
Bellanduru-Towards(Marathahalli Bridge),10,8
Kadabisanahalli-Towards(Hebbala),11,8
Marathahalli Bridge-Towards(Hebbala),12,8
Dodda Nekkundi (Towards Hebbala)-Towards(Hebbala),13,8
Mahadevapura Ring Road-Towards(Hebbala),14,8
Railway Station KR Puram-Towards(Tin Factory),15,8
Kasthuri Nagara Ring Road-Towards(Hebbala),16,8
Ramamurthy Nagara Ring Road-Towards(Hebbala),17,8
Babusabpalya (Towards Hebbala)-Towards(Hebbala),18,8
Kalyananagara-Towards(Hebbala),19,8
Jn of Nagawara-Towards(Hebbala),20,8
Veeranapalya-Towards(Hebbala),21,8
Hebbala Bridge (Towards Bhadrappa Layout)-Towards(Bhadrappa Layout),22,8
Military Dairy Farm-Towards(Yalahanka),23,8
Navayuga Devanahalli Toll Plaza (KIAS Service)-Towards(Kempegowda International Airport),24,8
Byatarayanapura (Towards Yalahanka)-Towards(Yalahanka),25,8
Allalasandra Gate (Towards Kogilu Cross)-Towards(Yalahanka),26,8
Kogilu Cross-Towards(Devanahalli),27,8
Venkatala-Towards(Devanahalli),28,8
Indian Air Force-Towards(Devanahalli),29,8
Hunasamaranahalli-Towards(Devanahalli),30,8
Bettahalasuru Cross (Towards Devanahalli)-Towards(Devanahalli),31,8
Chikkajala-Towards(Devanahalli),32,8
Sadahalli Gate-Towards(Devanahalli),33,8
Trumpet-Towards(Kempegowda International Airport),34,8
Kempegowda International Airport-Towards(Last Bus Stop ),35,8
